identifier,description_identifier,question,sparql,answer
Jaguar_01,Jaguar,What answer is reached by this graph path: Jaguar Cars --kg:be--> sports car?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'jaguar cars')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'sports car')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",sports car
Jaguar_02,Jaguar,What answer is reached by this graph path: Jaguar Cars --kg:produceBy--> car?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'jaguar cars')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'car')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",car
Jaguar_03,Jaguar,What answer is reached by this graph path: Jaguar Cars --kg:be--> luxury?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'jaguar cars')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'luxury')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",luxury
Mango_01,Mango,What answer is reached by this graph path: Mango --kg:be--> Italian?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mango')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'italian')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Italian
Mango_02,Mango,What answer is reached by this graph path: Mango --kg:be--> singer-songwriter?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mango')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'singer-songwriter')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",singer-songwriter
Mango_03,Mango,What answer is reached by this graph path: Mango --kg:foundBy--> Andıç?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mango')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'andıç')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Andıç
Apple_01,Apple,What answer is reached by this graph path: Apple Inc. --kg:be--> technology?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'apple inc.')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'technology')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",technology
Apple_02,Apple,What answer is reached by this graph path: Apple Inc. --kg:headquarterIn--> Cupertino?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'apple inc.')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'cupertino')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Cupertino
Apple_03,Apple,What answer is reached by this graph path: Apple Inc. --kg:headquarter--> California?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'apple inc.')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'california')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",California
Orange_01,Orange,What answer is reached by this graph path: Orange --kg:beIn--> Vaucluse?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'orange')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'vaucluse')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Vaucluse
