identifier,description_identifier,question,query_type,sparql,answer
Jaguar_01_01,Jaguar_01,Which entities are directly linked to Jaguar Cars?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q30055>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""August Brand"", ""car"", ""Carina"", ""DAZN Group"", ""enterprise"", ""land"", ""luxury"", ""mathematical operation"", ""Rover"", ""sport"", ""sports car"", ""vehicle"", ""Welsh""]"
Jaguar_01_02,Jaguar_01,Which predicates directly link entities to Jaguar Cars?,predicate,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q30055>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  BIND(REPLACE(STR(?predicate), ""^.*[/#]"", """") AS ?answer)
} ORDER BY LCASE(?answer)","[""be"", ""beOf"", ""limit"", ""produceBy""]"
Jaguar_02_01,Jaguar_02,Which entities are directly linked to Jaguar?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q2732887>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""1920s"", ""1930s"", ""24"", ""boat"", ""Chiang Kai-shek rifle"", ""Civil"", ""end of"", ""German"", ""instance of"", ""multiple sclerosis"", ""non-interventionism"", ""Patrolsari"", ""Sixth Cambridge Survey of radio sources"", ""Spanish"", ""Torpedo"", ""United States Naval Academy"", ""Warsaw""]"
Jaguar_02_02,Jaguar_02,Which predicates directly link entities to Jaguar?,predicate,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q2732887>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  BIND(REPLACE(STR(?predicate), ""^.*[/#]"", """") AS ?answer)
} ORDER BY LCASE(?answer)","[""be"", ""buildDuring"", ""buildFor"", ""make"", ""makeDuring"", ""makeIn""]"
Mango_01_01,Mango_01,Which entities are directly linked to Mango?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q1054564>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""Italian"", ""mountain range"", ""music"", ""musician"", ""people"", ""singer-songwriter"", ""song"", ""spinal stenosis"", ""Style"", ""vocal range""]"
Mango_01_02,Mango_01,Which predicates directly link entities to Mango?,predicate,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q1054564>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  BIND(REPLACE(STR(?predicate), ""^.*[/#]"", """") AS ?answer)
} ORDER BY LCASE(?answer)","[""be"", ""fuse"", ""knowFor""]"
Mango_02_01,Mango_02,Which entities are directly linked to Mango?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q136503>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""40"", ""business"", ""child"", ""clothing"", ""design"", ""enterprise"", ""fashion"", ""fashion accessory"", ""female"", ""industrial manufacturing"", ""Kids"", ""Lines"", ""Mango-Mango"", ""marketing"", ""multinational corporation"", ""Spanish"", ""teenager"", ""trade""]"
Mango_02_02,Mango_02,Which predicates directly link entities to Mango?,predicate,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q136503>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  BIND(REPLACE(STR(?predicate), ""^.*[/#]"", """") AS ?answer)
} ORDER BY LCASE(?answer)","[""be"", ""engage"", ""engageIn"", ""expand"", ""expandAs"", ""expandInto"", ""focus"", ""focusOn"", ""knowBy""]"
Apple_01_01,Apple_01,Which entities are directly linked to Apple Inc.?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q312>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""American English"", ""American Multinationals and Japan: The Political Economy of Japanese Capital Controls, 1899-1980"", ""California"", ""consumer"", ""Cupertino"", ""electronics"", ""enterprise"", ""liturgy"", ""multinational corporation"", ""Online Games-Datenbank"", ""Robojab Technologies LLC"", ""Silicon"", ""software"", ""technology"", ""valley""]"
Apple_01_02,Apple_01,Which predicates directly link entities to Apple Inc.?,predicate,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q312>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  BIND(REPLACE(STR(?predicate), ""^.*[/#]"", """") AS ?answer)
} ORDER BY LCASE(?answer)","[""be"", ""headquarter"", ""headquarterIn"", ""know"", ""knowFor""]"
Apple_02_01,Apple_02,Which entities are directly linked to Apple Records?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q213710>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""1968"", ""Apple Corps"", ""Artists of the World Online"", ""Badfinger"", ""Billy"", ""British Phonographic Industry"", ""Creative Commons Attribution"", ""German Student Corps"", ""Hopkins"", ""Individually & Collectively"", ""James"", ""Mary"", ""military division"", ""name"", ""originally"", ""Preston"", ""Record"", ""retail outlet"", ""Selection"", ""Taylor"", ""The Beatles"", ""Welsh""]"
Apple_02_02,Apple_02,Which predicates directly link entities to Apple Records?,predicate,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q213710>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  BIND(REPLACE(STR(?predicate), ""^.*[/#]"", """") AS ?answer)
} ORDER BY LCASE(?answer)","[""be"", ""foundAs"", ""foundBy"", ""foundIn"", ""foundOf"", ""include"", ""intend"", ""intendAs""]"
Orange_01_01,Orange_01,Which entities are directly linked to Orange?,entity,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX schema: <https://schema.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT DISTINCT ?answer ?subject ?direction ?predicate ?answerEntity ?answerLabel WHERE {
  {
    SELECT ?subject
           (MAX(?canonicalMatch) AS ?canonicalRank)
           (SUM(?edgeWeight) AS ?subjectScore)
    WHERE {
      {
        ?subject ?candidatePredicate ?candidateNeighbor .
        BIND(2 AS ?edgeWeight)
      }
      UNION
      {
        ?candidateNeighbor ?candidatePredicate ?subject .
        BIND(1 AS ?edgeWeight)
      }
      FILTER(isIRI(?subject) || isBlank(?subject))
      FILTER(?candidateNeighbor != ?subject)
      FILTER(?candidatePredicate NOT IN (
        rdfs:label, skos:prefLabel, skos:altLabel, schema:name
      ))
      BIND(IF(?subject = <http://www.wikidata.org/entity/Q187796>, 1, 0) AS ?canonicalMatch)
    }
    GROUP BY ?subject
    ORDER BY DESC(?canonicalRank) DESC(?subjectScore) STR(?subject)
    LIMIT 1
  }
  {
    ?subject ?predicate ?answerEntity .
    BIND(""outgoing"" AS ?direction)
  }
  UNION
  {
    ?answerEntity ?predicate ?subject .
    BIND(""incoming"" AS ?direction)
  }
  FILTER(?answerEntity != ?subject)
  FILTER(?predicate NOT IN (
    rdfs:label, skos:prefLabel, skos:altLabel, schema:name
  ))
  OPTIONAL {
    ?answerEntity (rdfs:label|skos:prefLabel|skos:altLabel|schema:name) ?answerLabel .
  }
  BIND(COALESCE(
    STR(?answerLabel),
    REPLACE(STR(?answerEntity), ""^.*[/#]"", """")
  ) AS ?answer)
} ORDER BY LCASE(?answer)","[""21"", ""Avignon"", ""azure"", ""border"", ""commune of France"", ""Crohn's disease"", ""France"", ""Gard"", ""kiyō"", ""North"", ""Occitania"", ""Provence-Alpes-Côte d'Azur"", ""region"", ""Rhône"", ""Southeastern Louisiana University"", ""Vaucluse""]"
