identifier,description_identifier,question,sparql,answer,answer_id,id_sparql
Jaguar_01,Jaguar,What answer is reached by this graph path: Jaguar Cars --kg:be--> sports car?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'jaguar cars')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'sports car')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",sports car,wd:Q274586,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q30055> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q274586>)
} LIMIT 1"
Jaguar_02,Jaguar,What answer is reached by this graph path: Jaguar Cars --kg:produceBy--> car?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'jaguar cars')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'car')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",car,wd:Q1420,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q30055> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q1420>)
} LIMIT 1"
Jaguar_03,Jaguar,What answer is reached by this graph path: Jaguar Cars --kg:be--> luxury?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'jaguar cars')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'luxury')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",luxury,wd:Q10953913,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q30055> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q10953913>)
} LIMIT 1"
Mango_01,Mango,What answer is reached by this graph path: Mango --kg:be--> Italian?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mango')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'italian')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Italian,wd:Q652,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q1054564> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q652>)
} LIMIT 1"
Mango_02,Mango,What answer is reached by this graph path: Mango --kg:be--> singer-songwriter?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mango')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'singer-songwriter')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",singer-songwriter,wd:Q488205,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q1054564> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q488205>)
} LIMIT 1"
Mango_03,Mango,What answer is reached by this graph path: Mango --kg:foundBy--> Andıç?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mango')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'andıç')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Andıç,wd:Q30669152,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q136503> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q30669152>)
} LIMIT 1"
Apple_01,Apple,What answer is reached by this graph path: Apple Inc. --kg:be--> technology?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'apple inc.')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'technology')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",technology,wd:Q11016,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q312> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q11016>)
} LIMIT 1"
Apple_02,Apple,What answer is reached by this graph path: Apple Inc. --kg:headquarterIn--> Cupertino?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'apple inc.')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'cupertino')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Cupertino,wd:Q189471,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q312> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q189471>)
} LIMIT 1"
Apple_03,Apple,What answer is reached by this graph path: Apple Inc. --kg:headquarter--> California?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'apple inc.')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'california')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",California,wd:Q99,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q312> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q99>)
} LIMIT 1"
Orange_01,Orange,What answer is reached by this graph path: Orange --kg:beIn--> Vaucluse?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'orange')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'vaucluse')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Vaucluse,wd:Q12792,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q187796> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q12792>)
} LIMIT 1"
